,anaphora,epiphora,symploce,anadiplosis,diacope,epizeuxis,epanalepsis,chiasmus,polysyndeton,repeating exclamatory sentences,repeating interrogative sentences,assonance,alliteration,aposiopesis,one_word,NOUN,ADJS,VERB,ADVB
1857-Charles Kingsley-Two Years Ago Volume I-fragment.prd,0.11284513805522207,0.007202881152460984,0.0012004801920768304,0.0,1.4093637454981989,0.013205282112845138,0.0,0.0,0.5306122448979592,0.03841536614645858,0.021608643457382955,9.967587034813926,16.11764705882353,0.0,0.02845160121158775,0.17527894995728374,0.08543246951614156,0.12667305252802444,0.13797343826856862
1857-Charles Kingsley-Two Years Ago Volume II-fragment.prd,0.1704312114989733,0.018480492813141684,0.004106776180698152,0.0,0.9301848049281314,0.026694045174537988,0.0,0.0,0.3531827515400411,0.01129363449691992,0.02258726899383984,8.850102669404517,14.942505133470226,0.0,0.027629196555679948,0.15131788088623516,0.07359953559729651,0.1467982474326547,0.13576868322483449
1859-George Eliot-Adam Bede-fragment.prd,0.060024009603841535,0.0156062424969988,0.0012004801920768304,0.003601440576230492,1.0864345738295318,0.01920768307322929,0.004801920768307323,0.0,0.375750300120048,0.012004801920768308,0.008403361344537815,10.482593037214887,17.115246098439375,0.0,0.02662525826110685,0.1722260483126941,0.07311875462920851,0.13945450056525072,0.12503086139012695
1860-Anthony Trollope-Castle Richmond-fragment.prd,0.07591093117408906,0.013157894736842105,0.0010121457489878543,0.005060728744939271,0.8886639676113359,0.017206477732793518,0.0,0.0,0.2297570850202429,0.013157894736842105,0.004048582995951417,8.81072874493927,14.493927125506072,0.0,0.02169197396963124,0.15406528500117608,0.06930977706923137,0.15411755481797038,0.14273580221101326
1860-George Eliot-The Mill on the Floss-fragment.prd,0.1349009900990099,0.003712871287128713,0.0012376237623762374,0.003712871287128713,1.1918316831683171,0.07301980198019803,0.0024752475247524753,0.0,0.3316831683168317,0.0,0.008663366336633664,11.332920792079207,18.518564356435643,0.0,0.02392543802556559,0.1627788914633829,0.07159407461404285,0.14825180286896986,0.12277732941084585
1861-George Eliot-Silas Marner-fragment.prd,0.045576407506702415,0.00938337801608579,0.0,0.0013404825737265414,1.0831099195710456,0.02680965147453083,0.0026809651474530827,0.0,0.3739946380697051,0.01742627345844504,0.0,10.723860589812332,17.126005361930293,0.0,0.02059761750485969,0.17573393809500076,0.06703882769276777,0.15975925833624086,0.1365947266111748
1863-George Eliot-Romola-fragment.prd,0.044374009508716325,0.003169572107765452,0.0,0.0,1.0047543581616485,0.044374009508716325,0.003169572107765452,0.0,0.37083993660855785,0.028526148969889063,0.0047543581616481785,11.16164817749604,17.527733755942947,0.001584786053882726,0.026314154729217658,0.18067065064791465,0.08065698418417422,0.13255227422380694,0.1393730820360546
1865-Anthony Trollope-Can You Forgive Her--fragment.prd,0.141439205955335,0.018196856906534328,0.003308519437551696,0.0,0.5607940446650124,0.010752688172043013,0.0008271298593879237,0.0,0.10752688172043012,0.01240694789081886,0.0024813895781637717,7.694789081885856,13.634408602150538,0.0,0.02105396575033799,0.13861818386660654,0.059176430824695814,0.17120606128886887,0.13330892293826047
1867-George Alfred Henty-A Search For A Secret a Novel Volume 1-fragment.prd,0.017518248175182483,0.008759124087591242,0.0,0.00145985401459854,1.9547445255474447,0.016058394160583942,0.0,0.0,0.8,0.00145985401459854,0.0,13.404379562043795,19.630656934306568,0.0,0.016859544402485074,0.16919234985990986,0.07500304543793397,0.1544767937629431,0.15688878060665126
1867-George Alfred Henty-A Search For A Secret a Novel Volume 2-fragment.prd,0.08535031847133757,0.006369426751592357,0.0,0.0012738853503184713,1.5363057324840763,0.02802547770700637,0.0,0.0,0.5273885350318471,0.012738853503184714,0.0,11.531210191082804,17.890445859872607,0.0,0.017277028655512287,0.13788641812438954,0.06067256098334454,0.17029670315730722,0.1448631918105362
1867-George Alfred Henty-A Search For A Secret a Novel Volume 3-fragment.prd,0.0647887323943662,0.011267605633802821,0.0014084507042253526,0.0028169014084507052,1.8,0.03661971830985916,0.0014084507042253526,0.0,0.7281690140845071,0.004225352112676056,0.01830985915492957,12.353521126760564,18.904225352112675,0.0,0.016002862501233842,0.12894827756391275,0.06418418714835653,0.1694427993287928,0.15794344092389695
